Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-3,1) to the modular symbol [X^14*Y^2,(0,0)] of weight 18 and level 1.  Data generated by the following Sage code:

ms1k18a = (ModularSymbols(1, 18).plus_submodule().new_submodule().cuspidal_subspace().atkin_lehner_operator()-1).kernel().gen(0)
jj=compute_jacobi(ms1k18a*5/448, -3, 1, 2000)

Weight: 18
Index: 1

Coefficients:
====================================
  Delta      r     c(Delta,r)
   -819      1     -223043535
   -816      0     -678015744
   -815      1     5529909960
   -812      0     5953746528
   -811      1  19703656267/2
   -808      0    -2747425452
   -807      1     -337695432
   -804      0    -5181325992
   -803      1   -14674081455
   -800      0    -6037178400
   -799      1     2649272384
   -796      0    -2040990336
   -795      1     6335557050
   -792      0     -163005876
   -791      1    -1492262496
   -788      0     7033254804
   -787      1  -9689499727/2
   -784      0    -4747138704
   -783      1     2250745056
   -780      0     8798805600
   -779      1    -8176285359
   -776      0    -2742431976
   -775      1    -4827346800
   -772      0     -365979064
   -771      1    -1781489097
   -768      0            N/A
   -767      1    -1048073832
   -764      0     5218391808
   -763      1    12800289146
   -760      0     -262914760
   -759      1      113251248
   -756      0    -1037516256
   -755      1     3597879150
   -752      0    -6232412160
   -751      1     -877508880
   -748      0    -9655085264
   -747      1   -243524475/2
   -744      0    -3746178648
   -743      1     -135198936
   -740      0     1047964320
   -739      1  -6183495823/2
   -736      0     2806869120
   -735      1     1078895160
   -732      0    -2381672832
   -731      1     2558825550
   -728      0     4100504616
   -727      1      -56213320
   -724      0     -607171948
   -723      1    -1786601382
   -720      0     5153544000
   -719      1     -299304576
   -716      0      550886904
   -715      1    -7363620550
   -712      0     3970042096
   -711      1      124196688
   -708      0    -2275459896
   -707      1     5194233207
   -704      0    -1436903424
   -703      1    -2468574200
   -700      0     3984131200
   -699      1      836787633
   -696      0     -592359768
   -695      1     1355322600
   -692      0    -6062673636
   -691      1   3326381873/2
   -688      0      414033536
   -687      1     2541172104
   -684      0      -78347016
   -683      1  -6137406639/2
   -680      0    -3115431000
   -679      1      886467600
   -676      0     1725333805
   -675      1            N/A
   -672      0    -5978104704
   -671      1      239986296
   -668      0     1703205504
   -667      1     1024540346
   -664      0     2704509260
   -663      1      -36905232
   -660      0     4541721360
   -659      1   5560111647/2
   -656      0       75955968
   -655      1    -1659772200
   -652      0     1925307800
   -651      1    -4454854860
   -648      0     1488243294
   -647      1     -386721576
   -644      0     1108420128
   -643      1   1315510455/2
   -640      0    -2945377280
   -639      1     -459914760
   -636      0    -2352432768
   -635      1     -333032175
   -632      0     -412353936
   -631      1      510496040
   -628      0    -3150729204
   -627      1     3883105050
   -624      0      970844160
   -623      1    -1045002528
   -620      0    -1296093600
   -619      1   3657171473/2
   -616      0     -984968336
   -615      1     -883732080
   -612      0     1048668120
   -611      1     -705802383
   -608      0     5217676992
   -607      1     1654859312
   -604      0      -23977856
   -603      1  -1502025327/2
   -600      0    -1036859700
   -599      1     -912805416
   -596      0      -11967588
   -595      1    -2525230150
   -592      0       84545472
   -591      1      886962264
   -588      0            N/A
   -587      1  -4435941429/2
   -584      0      543440736
   -583      1     1260714664
   -580      0     -175977200
   -579      1      594577428
   -576      0      336340224
   -575      1      868987800
   -572      0    -1122016896
   -571      1   2303617745/2
   -568      0    -2370530248
   -567      1    -1111158648
   -564      0      -37571568
   -563      1   1177975269/2
   -560      0     -171037440
   -559      1     -602663464
   -556      0     1564854216
   -555      1     3210733050
   -552      0     1628763504
   -551      1      544950216
   -548      0       71757072
   -547      1  -5136849609/2
   -544      0     -939176832
   -543      1    -1443301272
   -540      0      403038720
   -539      1   -890088507/2
   -536      0     -536408316
   -535      1     -117102680
   -532      0     2176624136
   -531      1  -3057671835/2
   -528      0    -1537911936
   -527      1       77794848
   -524      0     -759047688
   -523      1   4062831377/2
   -520      0      548483000
   -519      1      522024696
   -516      0    -1019666088
   -515      1     1477689975
   -512      0      158146560
   -511      1      384738304
   -508      0      125189120
   -507      1            N/A
   -504      0      438051240
   -503      1      260818056
   -500      0     -923265000
   -499      1  -2480625609/2
   -496      0      964055040
   -495      1       25047000
   -492      0      -39506640
   -491      1   -637274043/2
   -488      0      443374092
   -487      1     -574453432
   -484      0     -539259347
   -483      1      210758010
   -480      0      317750400
   -479      1      -74200896
   -476      0      410602752
   -475      1   -358368175/2
   -472      0     -241867500
   -471      1      498295704
   -468      0      106682004
   -467      1   1343301867/2
   -464      0     -435112128
   -463      1      289028048
   -460      0     -449508560
   -459      1      231554484
   -456      0     -314496528
   -455      1     -560102400
   -452      0      444432528
   -451      1      579592695
   -448      0     -372801536
   -447      1       32018088
   -444      0      621925248
   -443      1  -2546272431/2
   -440      0       86910120
   -439      1     -255904152
   -436      0      -55738356
   -435      1      -34850310
   -432      0            N/A
   -431      1     -128960496
   -428      0      555129288
   -427      1      644506141
   -424      0      -33523116
   -423      1      238937040
   -420      0     -118201200
   -419      1   1024273701/2
   -416      0     -190022976
   -415      1      -10205320
   -412      0     -921337984
   -411      1     -601570089
   -408      0      -83496264
   -407      1      337519512
   -404      0      186517404
   -403      1     -253917443
   -400      0      747898800
   -399      1       31904544
   -396      0     -146017080
   -395      1     -172125900
   -392      0     -161834274
   -391      1      -79213616
   -388      0      329558600
   -387      1    150311601/2
   -384      0      108125184
   -383      1      -60360624
   -380      0     -145353600
   -379      1    335337303/2
   -376      0      204776560
   -375      1     -123102000
   -372      0     -274325496
   -371      1      192669876
   -368      0     -386979840
   -367      1      -64475280
   -364      0       26643760
   -363      1            N/A
   -360      0      -45403380
   -359      1       28351224
   -356      0       73952856
   -355      1     -374321350
   -352      0       37798464
   -351      1      -14702688
   -348      0      411901056
   -347      1    115313553/2
   -344      0       38410956
   -343      1       25807936
   -340      0      -25056760
   -339      1     -158026185
   -336      0     -127873152
   -335      1      112114440
   -332      0       -3053880
   -331      1    184124631/2
   -328      0     -221093704
   -327      1       -8721288
   -324      0     -138894831
   -323      1      -70995366
   -320      0      132940800
   -319      1       62772248
   -316      0      -42762496
   -315      1      147871575
   -312      0      248032824
   -311      1     -100337832
   -308      0       -1984752
   -307      1    -61446921/2
   -304      0        1586816
   -303      1      -66791928
   -300      0            N/A
   -299      1     -116276940
   -296      0       56522124
   -295      1       77739400
   -292      0       25647560
   -291      1       69315546
   -288      0     -103070880
   -287      1      -28430784
   -284      0      -33247872
   -283      1    114565143/2
   -280      0      -69987400
   -279      1        7760016
   -276      0       68622096
   -275      1    140231025/2
   -272      0       51055488
   -271      1      -20815856
   -268      0       89712536
   -267      1     -147083523
   -264      0      -34476816
   -263      1       11714616
   -260      0      -36756720
   -259      1      -14609542
   -256      0       -8785920
   -255      1       34272000
   -252      0      -14281344
   -251      1     61554123/2
   -248      0      -27019152
   -247      1       -1937832
   -244      0       18349068
   -243      1            N/A
   -240      0       33945600
   -239      1        6327504
   -236      0      -38344248
   -235      1      -51387875
   -232      0       20706460
   -231      1      -32663664
   -228      0         349896
   -227      1      2995569/2
   -224      0       21326976
   -223      1      -15189280
   -220      0       -8624000
   -219      1       28611354
   -216      0       -3135888
   -215      1       13100760
   -212      0      -10001268
   -211      1     20215479/2
   -208      0      -24737856
   -207      1       14835960
   -204      0       14701872
   -203      1      -21888774
   -200      0       11434050
   -199      1        2603304
   -196      0        8990793
   -195      1      -32348550
   -192      0            N/A
   -191      1       -6656112
   -188      0       17273088
   -187      1       35496637
   -184      0       -5316040
   -183      1        3037848
   -180      0       -9760500
   -179      1     -4050639/2
   -176      0        -620928
   -175      1       -5081800
   -172      0       -8977768
   -171      1       576081/2
   -168      0       11322168
   -167      1       -2172456
   -164      0        -143856
   -163      1    -14156675/2
   -160      0       10528320
   -159      1        3000552
   -156      0       -2690688
   -155      1        4765050
   -152      0       -9881964
   -151      1          30584
   -148      0        -160124
   -147      1            N/A
   -144      0       -1202256
   -143      1        1431144
   -140      0        3708720
   -139      1    -11506281/2
   -136      0        1778744
   -135      1        -514080
   -132      0        2912712
   -131      1      5581233/2
   -128      0       -2658816
   -127      1        -159680
   -124      0       -2671872
   -123      1         145245
   -120      0        -601800
   -119      1        -523728
   -116      0         824076
   -115      1        1652605
   -112      0        2263040
   -111      1        -793272
   -108      0            N/A
   -107      1     -4081833/2
   -104      0         359892
   -103      1        1175176
   -100      0       -1416475
    -99      1      1073655/2
    -96      0        -386496
    -95      1         185400
    -92      0        1072512
    -91      1         -97955
    -88      0         -71588
    -87      1        -525384
    -84      0         242184
    -83      1        22455/2
    -80      0        -475200
    -79      1          54544
    -76      0         -34408
    -75      1            N/A
    -72      0         195210
    -71      1          42408
    -68      0         -96696
    -67      1      -659651/2
    -64      0         147712
    -63      1          18216
    -60      0         -94080
    -59      1       281943/2
    -56      0         -40392
    -55      1          11000
    -52      0          46852
    -51      1         -54051
    -48      0            N/A
    -47      1         -22032
